SKU,Item ID,Publish Status,Product Category,Price,Buy Box Item Price,MSRP,Shipping Weight,WPID,GTIN,Shelf Name,Primary Category Path,Brand,Offer Start Date,Offer End Date,Item Creation Date,Item Last Updated,Reviews Count,Average Rating,Competitor Price,Competitor Ship Price,Competitor Last Date Fetched,Condition,Product Type,Impressions,Clicks,Added to Cart,Sales Rank,Transactability Score,Buy Box Win %
887167679078,5162177943,PUBLISHED,"Beauty, Personal Care, & Hygiene",29.67,39.0,-1.0,1.0,1K0TQ3JR8WCC,344465449920,Facial Treatments,"('Home Page', 'Beauty', 'Skin Care', 'Facial Serums and Treatments', 'Facial Treatments')",Estee Lauder,08-27-24,12-31-49,11-14-23,12-15-24,4,4.3,36.99,0.0,09-23-24,New,Face Serums,Medium,Medium,Very low,462,0,0
773602684816,5653873756,PUBLISHED,"Beauty, Personal Care, & Hygiene",26.0,26.0,-1.0,0.3,6T4BV54GDP51,773602684816,All Makeup,"('Home Page', 'Beauty', 'Makeup', 'All Makeup')",M.A.C,07-11-24,12-31-49,04-20-24,11-20-24,0,0.0,25.0,0.0,11-12-24,New,Concealer Makeup,Very low,Very low,Very low,-1,100,100
AC1,5321838137,PUBLISHED,"Beauty, Personal Care, & Hygiene",29.9,25.0,36.0,0.5,7DSEYNVPI3HI,651986006328,Cream Concealer,"('Home Page', 'Beauty', 'Makeup', 'Face Makeup', 'Concealer', 'Cream Concealer')",Too Faced,08-08-24,12-31-49,10-02-24,11-19-24,0,0.0,36.0,0.0,12-16-24,New,Concealer Makeup,Very low,Medium,Very low,183,0,0
cliniqueqloeshavegel,242967386,PUBLISHED,"Beauty, Personal Care, & Hygiene",25.0,25.0,25.99,0.5,43CEN2E8PYR9,20714008741,Premium Body Hair Removal,"('Home Page', 'Premium Beauty', 'Premium Bath & Body', 'Premium Body Hair Removal')",Clinique,10-12-24,12-31-49,11-04-17,12-14-24,0,0.0,29.19,-1.0,08-09-24,New,Shaving Creams & Balms,Very low,Medium,Very low,740,32,29
192333149522,5392021621,PUBLISHED,"Beauty, Personal Care, & Hygiene",46.99,39.9,-1.0,1.0,1ITU2JJUK55K,192333149539,Clinique Moisturiser,"('Home Page', 'Premium Beauty', 'Featured Brands', 'Clinique', 'Clinique Moisturiser')",Clinique,08-26-24,12-31-49,04-02-24,12-13-24,1,1.0,49.95,-1.0,08-09-24,New,Facial Moisturizers,Very low,Medium,Very low,1442,0,0
3348901648929,5109923328,PUBLISHED,"Beauty, Personal Care, & Hygiene",50.0,50.0,-1.0,0.5,3XCFU37S8GMB,301636810859,Lipstick,"('Home Page', 'Beauty', 'Makeup', 'Lip Makeup', 'Lipstick')",MORK,12-16-24,12-31-49,11-10-23,12-16-24,0,0.0,46.0,0.0,12-12-24,New,Lipsticks,Very low,Very low,Very low,2203,0,14
626704312111,6066153273,PUBLISHED,"Beauty, Personal Care, & Hygiene",41.0,41.0,-1.0,1.0,48OJTKIW4UV0,764008249884,UNNAV,"('UNNAV',)",无,06-06-24,12-31-49,05-25-24,10-12-24,0,0.0,44.0,0.0,12-16-24,New,Facial Cleansers,Very low,Very low,Very low,4927,100,100
651986006557,5410603702,PUBLISHED,"Beauty, Personal Care, & Hygiene",20.09,19.0,-1.0,0.5,5FJJ4PY9BGH1,651986006557,All Makeup,"('Home Page', 'Beauty', 'Makeup', 'All Makeup')",Too Faced,07-30-24,12-31-49,10-02-24,10-12-24,0,0.0,36.0,0.0,12-16-24,New,Concealer Makeup,Very low,Low,Very low,300,100,0
773602691371,1778986563,PUBLISHED,"Beauty, Personal Care, & Hygiene",24.0,25.0,-1.0,0.5,5G0X5RN5SYJP,745558100788,Lipstick,"('Home Page', 'Beauty', 'Makeup', 'Lip Makeup', 'Lipstick')",M.A.C,09-24-24,12-31-49,06-25-22,11-21-24,0,0.0,22.0,0.0,12-16-24,New,Lipsticks,Very low,Very low,Very low,2512,100,0
792850013131,19766052,PUBLISHED,"Beauty, Personal Care, & Hygiene",17.0,7.29,16.08,1.0,7BAGUFTSF6GY,792850013131,Shampoo and Conditioner,"('Home Page', 'Beauty', 'Hair Care', 'Shampoo and Conditioner')",Burt's Bees,10-30-24,12-31-49,09-12-15,11-12-24,458,3.9,8.99,0.0,07-31-23,New,Shampoos,Very low,High,Very low,1000,90,0
CL-FP-7D-VC-105,555101395,PUBLISHED,"Beauty, Personal Care, & Hygiene",13.99,13.0,44.68,0.106,54MMPYMULX5F,192333066928,Skin Care Products for Dry Skin,"('Home Page', 'Beauty', 'Skin Care', 'Skin Care Concern', 'Skin Care Products for Dry Skin')",Clinique,04-08-24,12-31-49,05-07-21,12-18-24,57,4.6,30.0,0.0,12-16-24,New,Facial Moisturizers,Very low,Low,Very low,760,0,0
